ID,Age,Gender,GenderGroup,Glasses,GlassesGroup,Height,Wingspan,CWDistance,Complete,CompleteGroup,Score
1,56,F,1,Y,1,62,61,79,Y,1,7
2,26,F,1,Y,1,62,60,70,Y,1,8
3,33,F,1,Y,1,66,64,85,Y,1,7
4,39,F,1,N,0,64,63,87,Y,1,10
5,27,M,2,N,0,73,75,72,N,0,4
6,24,M,2,N,0,75,71,81,N,0,3
7,28,M,2,N,0,75,76,107,Y,1,10
8,22,F,1,N,0,65,62,98,Y,1,9
9,29,M,2,Y,1,74,73,106,N,0,5
10,33,F,1,Y,1,63,60,65,Y,1,8
11,30,M,2,Y,1,69.5,66,96,Y,1,6
12,28,F,1,Y,1,62.75,58,79,Y,1,10
13,25,F,1,Y,1,65,64.5,92,Y,1,6
14,23,F,1,N,0,61.5,57.5,66,Y,1,4
15,31,M,2,Y,1,73,74,72,Y,1,9
16,26,M,2,Y,1,71,72,115,Y,1,6
17,26,F,1,N,0,61.5,59.5,90,N,0,10
18,27,M,2,N,0,66,66,74,Y,1,5
19,23,M,2,Y,1,70,69,64,Y,1,3
20,24,F,1,Y,1,68,66,85,Y,1,8
21,23,M,2,Y,1,69,67,66,N,0,2
22,29,M,2,N,0,71,70,101,Y,1,8
23,25,M,2,N,0,70,68,82,Y,1,4
24,26,M,2,N,0,69,71,63,Y,1,5
25,23,F,1,Y,1,65,63,67,N,0,3